Entity ID,Acquisition Date,Mission,Frame Number,Image Type,Camera,Camera Resolution,Film Type,Generation,Polarity,Operations Number,Download Available,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
D3C1201-400400F017,1971/07/15,1201-4,17,Black and White,F,2 to 4 feet,6,2,Negative,400,1,30°05'56.40"N,121°36'10.80"E,30°27'50.40"N,119°40'12"E,29°59'02.40"N,123°34'55.20"E,29°43'48"N,123°35'16.80"E,30°13'12"N,119°34'51.60"E,30.099,121.603,30.464,119.67,29.984,123.582,29.73,123.588,30.22,119.581,D3C1201-400400F017
D3C1201-400400F018,1971/07/15,1201-4,18,Black and White,F,2 to 4 feet,6,2,Negative,400,1,29°55'58.80"N,121°34'08.40"E,30°17'49.20"N,119°38'16.80"E,29°49'04.80"N,123°32'38.40"E,29°33'50.40"N,123°33'03.60"E,30°03'14.40"N,119°32'56.40"E,29.933,121.569,30.297,119.638,29.818,123.544,29.564,123.551,30.054,119.549,D3C1201-400400F018
D3C1203-200182A027,1972/07/19,1203-2,27,Black and White,A,2 to 4 feet,6,2,Negative,182,1,30°49'30"N,117°07'51.60"E,31°24'18"N,113°34'51.60"E,30°35'38.40"N,120°44'16.80"E,30°15'36"N,120°32'06"E,31°02'02.40"N,113°41'06"E,30.825,117.131,31.405,113.581,30.594,120.738,30.26,120.535,31.034,113.685,D3C1203-200182A027
D3C1203-200182A028,1972/07/19,1203-2,28,Black and White,A,2 to 4 feet,6,2,Negative,182,1,30°39'54"N,117°05'42"E,31°14'38.40"N,113°33'10.80"E,30°26'06"N,120°41'42"E,30°06'03.60"N,120°29'31.20"E,30°52'22.80"N,113°39'21.60"E,30.665,117.095,31.244,113.553,30.435,120.695,30.101,120.492,30.873,113.656,D3C1203-200182A028
D3C1203-200182A029,1972/07/19,1203-2,29,Black and White,A,2 to 4 feet,6,2,Negative,182,1,30°30'18"N,117°03'39.60"E,31°04'55.20"N,113°31'26.40"E,30°16'33.60"N,120°39'07.20"E,29°56'31.20"N,120°27'00"E,30°42'43.20"N,113°37'37.20"E,30.505,117.061,31.082,113.524,30.276,120.652,29.942,120.45,30.712,113.627,D3C1203-200182A029
D3C1203-200182A030,1972/07/19,1203-2,30,Black and White,A,2 to 4 feet,6,2,Negative,182,1,30°20'38.40"N,117°01'22.80"E,30°55'15.60"N,113°29'42"E,30°06'57.60"N,120°36'32.40"E,29°46'58.80"N,120°24'25.20"E,30°33'03.60"N,113°35'52.80"E,30.344,117.023,30.921,113.495,30.116,120.609,29.783,120.407,30.551,113.598,D3C1203-200182A030
D3C1203-200182F026,1972/07/19,1203-2,26,Black and White,F,2 to 4 feet,6,2,Negative,182,1,30°51'03.60"N,117°10'19.20"E,31°28'26.40"N,113°46'37.20"E,30°35'20.40"N,120°38'31.20"E,30°12'54"N,120°42'18"E,31°07'48"N,113°35'02.40"E,30.851,117.172,31.474,113.777,30.589,120.642,30.215,120.705,31.13,113.584,D3C1203-200182F026
D3C1203-200182F027,1972/07/19,1203-2,27,Black and White,F,2 to 4 feet,6,2,Negative,182,1,30°41'27.60"N,117°08'16.80"E,31°18'46.80"N,113°44'52.80"E,30°25'48"N,120°35'56.40"E,30°03'21.60"N,120°39'43.20"E,30°58'12"N,113°33'18"E,30.691,117.138,31.313,113.748,30.43,120.599,30.056,120.662,30.97,113.555,D3C1203-200182F027
D3C1203-200182F028,1972/07/19,1203-2,28,Black and White,F,2 to 4 feet,6,2,Negative,182,1,30°31'51.60"N,117°06'07.20"E,31°09'07.20"N,113°43'12"E,30°16'15.60"N,120°33'21.60"E,29°53'49.20"N,120°37'08.40"E,30°48'32.40"N,113°31'37.20"E,30.531,117.102,31.152,113.72,30.271,120.556,29.897,120.619,30.809,113.527,D3C1203-200182F028
D3C1203-200182F029,1972/07/19,1203-2,29,Black and White,F,2 to 4 feet,6,2,Negative,182,1,30°22'19.20"N,117°03'54"E,30°59'27.60"N,113°41'27.60"E,30°06'43.20"N,120°30'50.40"E,29°44'20.40"N,120°34'33.60"E,30°38'52.80"N,113°29'52.80"E,30.372,117.065,30.991,113.691,30.112,120.514,29.739,120.576,30.648,113.498,D3C1203-200182F029
D3C1203-200195A019,1972/07/20,1203-2,19,Black and White,A,2 to 4 feet,6,2,Negative,195,1,30°21'39.60"N,120°37'19.20"E,30°46'01.20"N,118°30'54"E,30°11'09.60"N,123°08'45.60"E,29°59'42"N,123°05'34.80"E,30°23'52.80"N,118°37'08.40"E,30.361,120.622,30.767,118.515,30.186,123.146,29.995,123.093,30.398,118.619,D3C1203-200195A019
D3C1203-200195A020,1972/07/20,1203-2,20,Black and White,A,2 to 4 feet,6,2,Negative,195,1,30°12'07.20"N,120°35'31.20"E,30°36'25.20"N,118°29'09.60"E,30°01'37.20"N,123°06'32.40"E,29°50'09.60"N,123°03'18"E,30°14'20.40"N,118°35'27.60"E,30.202,120.592,30.607,118.486,30.027,123.109,29.836,123.055,30.239,118.591,D3C1203-200195A020
D3C1203-200195A021,1972/07/20,1203-2,21,Black and White,A,2 to 4 feet,6,2,Negative,195,1,30°02'31.20"N,120°33'25.20"E,30°26'49.20"N,118°27'28.80"E,29°52'04.80"N,123°04'15.60"E,29°40'40.80"N,123°01'04.80"E,30°04'44.40"N,118°33'43.20"E,30.042,120.557,30.447,118.458,29.868,123.071,29.678,123.018,30.079,118.562,D3C1203-200195A021
D3C1203-200195F019,1972/07/20,1203-2,19,Black and White,F,2 to 4 feet,6,2,Negative,195,1,30°15'46.80"N,120°38'13.20"E,30°40'30"N,118°41'24"E,30°03'57.60"N,123°07'58.80"E,29°52'15.60"N,123°07'08.40"E,30°20'06"N,118°30'07.20"E,30.263,120.637,30.675,118.69,30.066,123.133,29.871,123.119,30.335,118.502,D3C1203-200195F019
D3C1203-200195F020,1972/07/20,1203-2,20,Black and White,F,2 to 4 feet,6,2,Negative,195,1,30°06'14.40"N,120°36'10.80"E,30°30'57.60"N,118°39'28.80"E,29°54'28.80"N,123°05'42"E,29°42'46.80"N,123°04'51.60"E,30°10'33.60"N,118°28'15.60"E,30.104,120.603,30.516,118.658,29.908,123.095,29.713,123.081,30.176,118.471,D3C1203-200195F020
D3C1203-200195F021,1972/07/20,1203-2,21,Black and White,F,2 to 4 feet,6,2,Negative,195,1,29°56'42"N,120°34'12"E,30°21'21.60"N,118°37'40.80"E,29°44'56.40"N,123°03'25.20"E,29°33'14.40"N,123°02'34.80"E,30°01'01.20"N,118°26'24"E,29.945,120.57,30.356,118.628,29.749,123.057,29.554,123.043,30.017,118.44,D3C1203-200195F021
D3C1204-100047A023,1972/10/14,1204-1,23,Black and White,A,2 to 4 feet,6,2,Negative,47,1,30°29'13.20"N,119°22'44.40"E,30°46'12"N,117°36'36"E,30°28'37.20"N,120°52'58.80"E,30°10'12"N,120°41'56.40"E,30°36'46.80"N,117°35'16.80"E,30.487,119.379,30.77,117.61,30.477,120.883,30.17,120.699,30.613,117.588,D3C1204-100047A023
D3C1204-100047A024,1972/10/14,1204-1,24,Black and White,A,2 to 4 feet,6,2,Negative,47,1,30°20'20.40"N,119°20'45.60"E,30°37'15.60"N,117°34'40.80"E,30°19'48"N,120°50'42"E,30°01'22.80"N,120°39'39.60"E,30°27'54"N,117°33'25.20"E,30.339,119.346,30.621,117.578,30.33,120.845,30.023,120.661,30.465,117.557,D3C1204-100047A024
D3C1204-100047A025,1972/10/14,1204-1,25,Black and White,A,2 to 4 feet,6,2,Negative,47,1,30°11'27.60"N,119°18'36"E,30°28'22.80"N,117°32'45.60"E,30°10'55.20"N,120°48'28.80"E,29°52'33.60"N,120°37'26.40"E,30°19'01.20"N,117°31'30"E,30.191,119.31,30.473,117.546,30.182,120.808,29.876,120.624,30.317,117.525,D3C1204-100047A025
D3C1204-100047A026,1972/10/14,1204-1,26,Black and White,A,2 to 4 feet,6,2,Negative,47,1,30°02'34.80"N,119°16'30"E,30°19'30"N,117°30'54"E,30°02'06"N,120°46'12"E,29°43'40.80"N,120°35'13.20"E,30°10'04.80"N,117°29'38.40"E,30.043,119.275,30.325,117.515,30.035,120.77,29.728,120.587,30.168,117.494,D3C1204-100047A026
D3C1204-100047F022,1972/10/14,1204-1,22,Black and White,F,2 to 4 feet,6,2,Negative,47,1,30°30'10.80"N,119°25'01.20"E,30°49'44.40"N,117°39'25.20"E,30°28'40.80"N,120°47'24"E,30°08'20.40"N,120°50'42"E,30°40'26.40"N,117°37'51.60"E,30.503,119.417,30.829,117.657,30.478,120.79,30.139,120.845,30.674,117.631,D3C1204-100047F022
D3C1204-100047F023,1972/10/14,1204-1,23,Black and White,F,2 to 4 feet,6,2,Negative,47,1,30°21'21.60"N,119°22'55.20"E,30°40'51.60"N,117°37'33.60"E,30°19'51.60"N,120°45'07.20"E,29°59'31.20"N,120°48'25.20"E,30°31'33.60"N,117°35'56.40"E,30.356,119.382,30.681,117.626,30.331,120.752,29.992,120.807,30.526,117.599,D3C1204-100047F023
D3C1204-100047F024,1972/10/14,1204-1,24,Black and White,F,2 to 4 feet,6,2,Negative,47,1,30°12'28.80"N,119°20'49.20"E,30°31'58.80"N,117°35'38.40"E,30°10'58.80"N,120°42'54"E,29°50'38.40"N,120°46'12"E,30°22'40.80"N,117°34'01.20"E,30.208,119.347,30.533,117.594,30.183,120.715,29.844,120.77,30.378,117.567,D3C1204-100047F024
D3C1204-100047F025,1972/10/14,1204-1,25,Black and White,F,2 to 4 feet,6,2,Negative,47,1,30°03'39.60"N,119°18'43.20"E,30°23'06"N,117°33'43.20"E,30°02'09.60"N,120°40'37.20"E,29°41'49.20"N,120°43'55.20"E,30°13'48"N,117°32'09.60"E,30.061,119.312,30.385,117.562,30.036,120.677,29.697,120.732,30.23,117.536,D3C1204-100047F025
D3C1204-400530A045,1972/11/24,1204-4,45,Black and White,A,2 to 4 feet,6,2,Negative,530,1,30°23'45.60"N,119°17'49.20"E,30°40'55.20"N,117°32'24"E,30°19'30"N,121°05'20.40"E,30°06'50.40"N,121°00'32.40"E,30°27'28.80"N,117°33'50.40"E,30.396,119.297,30.682,117.54,30.325,121.089,30.114,121.009,30.458,117.564,D3C1204-400530A045
D3C1204-400530A046,1972/11/24,1204-4,46,Black and White,A,2 to 4 feet,6,2,Negative,530,1,30°15'03.60"N,119°16'04.80"E,30°32'13.20"N,117°30'43.20"E,30°10'51.60"N,121°03'21.60"E,29°58'08.40"N,120°58'33.60"E,30°18'46.80"N,117°32'09.60"E,30.251,119.268,30.537,117.512,30.181,121.056,29.969,120.976,30.313,117.536,D3C1204-400530A046
D3C1204-400530A047,1972/11/24,1204-4,47,Black and White,A,2 to 4 feet,6,2,Negative,530,1,30°06'21.60"N,119°14'13.20"E,30°23'31.20"N,117°29'02.40"E,30°02'13.20"N,121°01'22.80"E,29°49'30"N,120°56'34.80"E,30°10'04.80"N,117°30'28.80"E,30.106,119.237,30.392,117.484,30.037,121.023,29.825,120.943,30.168,117.508,D3C1204-400530A047
D3C1204-400530F044,1972/11/24,1204-4,44,Black and White,F,2 to 4 feet,6,2,Negative,530,1,30°26'45.60"N,119°20'31.20"E,30°45'43.20"N,117°38'42"E,30°20'49.20"N,121°04'48"E,30°07'33.60"N,121°05'02.40"E,30°32'56.40"N,117°34'04.80"E,30.446,119.342,30.762,117.645,30.347,121.08,30.126,121.084,30.549,117.568,D3C1204-400530F044
